                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0984,                 1.0734,                 1.4742,                0.81533,                0.83204,                0.88148,                0.51219,                 1.3999,                0.83847,                 1.7368,               0.006634,               0.006634,               0.006634
                     37,                 1.0975,                   1.06,                 1.4718,                0.83646,                  0.802,                 0.8705,                0.51162,                 1.4116,                0.84546,                 1.7299,               0.006535,               0.006535,               0.006535
                     38,                 1.0794,                  1.048,                 1.4594,                 0.8159,                 0.8282,                 0.8733,                0.52207,                 1.3885,                0.83658,                 1.7159,               0.006436,               0.006436,               0.006436
                     39,                 1.0778,                 1.0392,                  1.451,                0.82004,                0.83426,                0.88104,                0.52383,                 1.4091,                0.83235,                 1.7291,               0.006337,               0.006337,               0.006337
                     40,                  1.073,                 1.0373,                 1.4531,                0.85213,                0.80767,                0.87393,                0.52017,                 1.4321,                0.83695,                  1.735,               0.006238,               0.006238,               0.006238
                     41,                 1.0678,                 1.0174,                  1.444,                0.81835,                0.81313,                0.87441,                  0.527,                 1.3869,                0.83119,                 1.7053,               0.006139,               0.006139,               0.006139
                     42,                 1.0552,                 1.0129,                 1.4398,                0.80957,                0.82202,                 0.8742,                0.53093,                 1.3631,                0.82048,                 1.6787,                0.00604,                0.00604,                0.00604
                     43,                 1.0641,                 1.0062,                  1.441,                 0.8402,                0.80711,                0.88011,                 0.5248,                 1.3955,                0.81586,                 1.7257,               0.005941,               0.005941,               0.005941
                     44,                 1.0503,                0.98797,                 1.4275,                0.83471,                0.81201,                0.88332,                0.53783,                 1.3563,                0.81627,                 1.6782,               0.005842,               0.005842,               0.005842
                     45,                 1.0496,                0.98761,                 1.4278,                0.82249,                0.82981,                0.88003,                0.54331,                 1.3538,                0.80477,                 1.6871,               0.005743,               0.005743,               0.005743
                     46,                 1.0459,                0.98797,                 1.4279,                0.81578,                0.82759,                0.88334,                0.54088,                  1.344,                0.78482,                 1.6669,               0.005644,               0.005644,               0.005644
                     47,                 1.0359,                0.98154,                  1.421,                0.80748,                 0.8287,                0.87957,                0.53338,                 1.3868,                0.79934,                 1.7145,               0.005545,               0.005545,               0.005545
                     48,                 1.0371,                0.96622,                 1.4233,                0.84543,                0.80308,                0.88404,                0.53766,                 1.3709,                0.79531,                 1.6999,               0.005446,               0.005446,               0.005446
