                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4416,                 2.0621,                 1.7803,                0.51501,                0.51168,                0.48045,                0.19106,                 1.9807,                 1.9233,                 2.3503,              0.0006661,              0.0006661,              0.0006661
                      2,                 1.5197,                 1.9186,                 1.8477,                0.53017,                 0.5139,                0.51361,                0.19607,                 1.9223,                 1.8849,                 2.2984,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.4895,                  1.863,                 1.8292,                0.57211,                0.52946,                 0.5514,                0.22444,                  1.903,                 1.7876,                  2.231,              0.0019203,              0.0019203,              0.0019203
                      4,                 1.4569,                 1.8032,                 1.7947,                0.56797,                0.56174,                0.54661,                0.21276,                 1.9762,                  1.732,                 2.3716,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4122,                 1.7106,                 1.7594,                0.61208,                0.60199,                0.62066,                 0.2926,                 1.7181,                 1.5824,                 2.0943,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.3757,                 1.6672,                 1.7348,                0.60367,                0.60994,                0.60489,                0.26462,                 1.8224,                 1.5754,                 2.1611,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.3468,                  1.598,                 1.7064,                0.68426,                0.67964,                0.71087,                0.32729,                 1.7169,                 1.3786,                 2.0508,               0.001802,               0.001802,               0.001802
                      8,                 1.3326,                 1.5636,                 1.6887,                0.73971,                0.67186,                0.75012,                0.37393,                 1.6314,                  1.396,                 1.9686,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.3078,                 1.5144,                 1.6711,                0.63995,                0.65628,                 0.6869,                0.35069,                  1.588,                 1.3438,                 1.9215,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.2945,                   1.48,                 1.6598,                0.71948,                0.69744,                0.74101,                0.35328,                 1.6583,                 1.3027,                 2.0081,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.2721,                 1.4455,                 1.6387,                0.66881,                0.68743,                0.73126,                 0.3461,                 1.7282,                 1.2761,                 2.0206,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.2758,                  1.424,                 1.6366,                 0.7602,                0.72414,                0.78445,                0.40294,                 1.6147,                 1.1593,                 1.9209,               0.001604,               0.001604,               0.001604
                     13,                 1.2429,                 1.3957,                 1.6146,                0.75439,                0.70722,                0.76652,                0.38452,                 1.6404,                 1.1934,                 1.9465,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.2325,                 1.3599,                  1.604,                0.76877,                0.74638,                0.81205,                0.44517,                 1.5289,                 1.0674,                 1.8309,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.2265,                 1.3364,                  1.595,                0.73907,                0.74985,                0.78038,                0.39197,                 1.6397,                 1.1399,                 1.9561,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.2248,                 1.3228,                 1.5921,                0.78035,                 0.7469,                0.81834,                0.42003,                 1.6133,                 1.0831,                  1.925,              0.0014456,              0.0014456,              0.0014456
                     17,                  1.208,                 1.3134,                 1.5835,                 0.8062,                0.73637,                0.82341,                0.43255,                 1.5512,                 1.0194,                 1.8861,               0.001406,               0.001406,               0.001406
                     18,                 1.2006,                 1.2818,                 1.5757,                0.76138,                0.75417,                0.81291,                0.44956,                  1.506,                 1.0363,                 1.8227,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.1947,                 1.2522,                 1.5659,                0.78873,                 0.7297,                0.82458,                 0.4564,                 1.4725,                 1.0354,                 1.8022,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.1842,                 1.2452,                 1.5538,                0.80429,                0.76338,                0.83544,                0.45828,                 1.4866,                0.98446,                 1.8111,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1737,                 1.2258,                 1.5453,                0.81318,                0.76016,                0.82309,                 0.4518,                 1.4982,                 1.0111,                  1.806,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1533,                 1.2087,                 1.5272,                0.78217,                0.78754,                0.84143,                0.47327,                 1.4691,                0.99764,                  1.795,               0.001208,               0.001208,               0.001208
                     23,                 1.1434,                 1.1778,                 1.5232,                0.80653,                0.77419,                0.85367,                0.49145,                 1.4393,                0.94699,                 1.7592,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.1406,                 1.1735,                 1.5207,                0.81319,                0.77976,                0.84634,                0.48453,                 1.4623,                0.95312,                  1.782,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1363,                 1.1716,                 1.5164,                0.77755,                0.78198,                0.83488,                0.48169,                 1.4153,                0.92585,                 1.7538,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1332,                 1.1556,                 1.5118,                0.79837,                 0.8104,                0.86132,                0.50144,                 1.4345,                0.90302,                 1.7611,              0.0010496,              0.0010496,              0.0010496
