                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 1.1194,                 1.1211,                 1.5049,                 0.7811,                0.81869,                0.85339,                0.48871,                 1.4462,                  0.896,                 1.7726,                0.00101,                0.00101,                0.00101
                     28,                 1.1091,                 1.1206,                 1.4959,                0.78725,                0.79854,                0.85716,                0.50798,                 1.3841,                0.90795,                 1.7199,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.0991,                 1.0981,                 1.4908,                0.82314,                0.79209,                0.86338,                0.50197,                 1.4064,                0.90364,                 1.7235,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.0916,                 1.0877,                 1.4798,                0.80016,                0.80615,                0.85771,                0.50183,                  1.422,                0.89281,                 1.7503,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.0812,                 1.0623,                 1.4684,                0.78707,                0.82202,                0.86684,                0.51422,                 1.3789,                0.87665,                 1.7154,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.0779,                 1.0562,                  1.463,                0.79998,                0.83192,                0.86986,                0.50663,                 1.4069,                 0.8744,                 1.7208,               0.000812,               0.000812,               0.000812
                     33,                 1.0677,                 1.0419,                 1.4536,                0.78567,                 0.8287,                0.86879,                0.51841,                 1.3873,                0.85498,                 1.7107,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0618,                 1.0353,                 1.4501,                0.82048,                0.78977,                0.86488,                0.50698,                 1.3952,                0.87806,                 1.7245,              0.0007328,              0.0007328,              0.0007328
                     35,                  1.053,                 1.0209,                 1.4427,                0.80859,                0.81758,                0.87068,                0.51412,                  1.379,                0.84689,                 1.7247,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0401,                 1.0173,                 1.4335,                0.85993,                0.78536,                0.88202,                0.53722,                 1.3464,                0.83358,                 1.6792,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0397,                 1.0026,                 1.4349,                0.81952,                0.82314,                0.87454,                0.51918,                 1.3821,                0.84174,                  1.711,               0.000614,               0.000614,               0.000614
                     38,                  1.019,                 0.9709,                 1.4171,                  0.829,                0.81424,                0.87053,                0.52159,                 1.3737,                0.82139,                 1.7118,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0124,                0.96423,                 1.4087,                0.79397,                0.80587,                 0.8626,                0.52955,                 1.3581,                0.83847,                 1.6925,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.0069,                0.95202,                 1.4076,                0.83015,                0.79422,                0.87063,                0.52807,                 1.3663,                0.81274,                 1.6931,              0.0004952,              0.0004952,              0.0004952
                     41,                0.96472,                0.70306,                 1.4567,                0.81366,                0.81114,                0.87089,                0.53292,                 1.3412,                0.82312,                 1.6839,              0.0004556,              0.0004556,              0.0004556
                     42,                0.93779,                0.65607,                 1.4322,                0.80666,                 0.8287,                0.87889,                0.53482,                 1.3357,                 0.8108,                 1.6696,               0.000416,               0.000416,               0.000416
                     43,                 0.9107,                0.62781,                 1.4042,                0.85231,                 0.8024,                0.87839,                0.53559,                 1.3276,                0.79615,                 1.6684,              0.0003764,              0.0003764,              0.0003764
                     44,                0.89708,                0.61469,                 1.3984,                0.81246,                0.82202,                0.87253,                0.53362,                 1.3359,                0.80241,                 1.6838,              0.0003368,              0.0003368,              0.0003368
                     45,                0.87879,                0.58348,                 1.3704,                0.81958,                0.82759,                0.87246,                0.53573,                 1.3463,                0.81071,                 1.6882,              0.0002972,              0.0002972,              0.0002972
                     46,                0.87294,                0.57192,                  1.372,                0.82726,                0.80979,                0.87403,                0.53874,                 1.3209,                0.80961,                 1.6711,              0.0002576,              0.0002576,              0.0002576
                     47,                0.85542,                0.56827,                 1.3548,                0.82272,                0.83982,                0.88067,                0.54136,                 1.3363,                0.79775,                 1.6898,               0.000218,               0.000218,               0.000218
                     48,                0.84583,                0.55225,                 1.3444,                0.83489,                0.82202,                 0.8757,                0.53731,                 1.3349,                0.79157,                 1.6927,              0.0001784,              0.0001784,              0.0001784
                     49,                  0.834,                0.53949,                 1.3371,                0.80928,                0.83542,                0.87961,                0.54286,                 1.3296,                0.79104,                  1.685,              0.0001388,              0.0001388,              0.0001388
                     50,                0.82016,                0.52686,                 1.3264,                0.82733,                0.81543,                0.88233,                0.54294,                 1.3323,                0.79252,                 1.6907,               9.92e-05,               9.92e-05,               9.92e-05
